"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"40",39,0.569,0.847,4,-4.274,0,0.071,0.418,0,0.333,0.863,124.996,"audio_features","51dLj7DdLxfX2zzNYGJmc9","spotify:track:51dLj7DdLxfX2zzNYGJmc9","https://api.spotify.com/v1/tracks/51dLj7DdLxfX2zzNYGJmc9","https://api.spotify.com/v1/audio-analysis/51dLj7DdLxfX2zzNYGJmc9",222200,4
"41",40,0.822,0.858,0,-5.862,0,0.0388,0.453,0,0.0629,0.873,111.513,"audio_features","2AV6HHNKnIcY26Zo9UdizC","spotify:track:2AV6HHNKnIcY26Zo9UdizC","https://api.spotify.com/v1/tracks/2AV6HHNKnIcY26Zo9UdizC","https://api.spotify.com/v1/audio-analysis/2AV6HHNKnIcY26Zo9UdizC",244082,4
"42",41,0.633,0.805,2,-5.523,0,0.0329,0.0529,0,0.146,0.925,143.028,"audio_features","02HQGyk9aGfleS1epTFtnJ","spotify:track:02HQGyk9aGfleS1epTFtnJ","https://api.spotify.com/v1/tracks/02HQGyk9aGfleS1epTFtnJ","https://api.spotify.com/v1/audio-analysis/02HQGyk9aGfleS1epTFtnJ",226649,4
"43",42,0.346,0.953,0,-4.689,1,0.248,0.282,0,0.0321,0.76,185.055,"audio_features","61QmcWQJXScVoXCdyiqp8L","spotify:track:61QmcWQJXScVoXCdyiqp8L","https://api.spotify.com/v1/tracks/61QmcWQJXScVoXCdyiqp8L","https://api.spotify.com/v1/audio-analysis/61QmcWQJXScVoXCdyiqp8L",255813,4
"44",43,0.739,0.591,7,-6.445,1,0.031,0.277,0,0.0957,0.784,105.013,"audio_features","4VSFwPGBDEUvVcRIT9heBy","spotify:track:4VSFwPGBDEUvVcRIT9heBy","https://api.spotify.com/v1/tracks/4VSFwPGBDEUvVcRIT9heBy","https://api.spotify.com/v1/audio-analysis/4VSFwPGBDEUvVcRIT9heBy",221960,4
"45",44,0.546,0.673,9,-4.419,1,0.0323,0.0151,0,0.165,0.964,208.113,"audio_features","2xrbnCU22dWCJostDEWvLl","spotify:track:2xrbnCU22dWCJostDEWvLl","https://api.spotify.com/v1/tracks/2xrbnCU22dWCJostDEWvLl","https://api.spotify.com/v1/audio-analysis/2xrbnCU22dWCJostDEWvLl",193040,4
"46",45,0.345,0.916,9,-5.366,1,0.0888,0.0532,0,0.0947,0.77,199.996,"audio_features","4oZLfuC6t6hPydvhJBdfm5","spotify:track:4oZLfuC6t6hPydvhJBdfm5","https://api.spotify.com/v1/tracks/4oZLfuC6t6hPydvhJBdfm5","https://api.spotify.com/v1/audio-analysis/4oZLfuC6t6hPydvhJBdfm5",218000,4
"47",46,0.805,0.593,2,-9.077,1,0.0546,0.392,0.00138,0.485,0.677,102.633,"audio_features","2pWb1A0niYkehbNzncNcue","spotify:track:2pWb1A0niYkehbNzncNcue","https://api.spotify.com/v1/tracks/2pWb1A0niYkehbNzncNcue","https://api.spotify.com/v1/audio-analysis/2pWb1A0niYkehbNzncNcue",186840,4
"48",47,0.595,0.669,10,-4.035,1,0.0587,0.403,0,0.0777,0.739,184.459,"audio_features","0tbjO3ViaR0L7LTvKAYxsD","spotify:track:0tbjO3ViaR0L7LTvKAYxsD","https://api.spotify.com/v1/tracks/0tbjO3ViaR0L7LTvKAYxsD","https://api.spotify.com/v1/audio-analysis/0tbjO3ViaR0L7LTvKAYxsD",190000,4
"49",48,0.571,0.816,6,-5.857,0,0.0428,0.0387,0,0.0721,0.97,200.05,"audio_features","3GYuSWg2bozjMNTOgSw9Fk","spotify:track:3GYuSWg2bozjMNTOgSw9Fk","https://api.spotify.com/v1/tracks/3GYuSWg2bozjMNTOgSw9Fk","https://api.spotify.com/v1/audio-analysis/3GYuSWg2bozjMNTOgSw9Fk",190613,4
"50",49,0.646,0.803,9,-4.951,0,0.0331,0.789,0.0207,0.191,0.893,100.07,"audio_features","3SeGoWq4erurSW32M79aWn","spotify:track:3SeGoWq4erurSW32M79aWn","https://api.spotify.com/v1/tracks/3SeGoWq4erurSW32M79aWn","https://api.spotify.com/v1/audio-analysis/3SeGoWq4erurSW32M79aWn",239412,4
"51",50,0.634,0.667,2,-7.764,0,0.0336,0.43,0,0.337,0.898,100.547,"audio_features","7JlNLlXzFbeKusnGJzGawA","spotify:track:7JlNLlXzFbeKusnGJzGawA","https://api.spotify.com/v1/tracks/7JlNLlXzFbeKusnGJzGawA","https://api.spotify.com/v1/audio-analysis/7JlNLlXzFbeKusnGJzGawA",234867,4
"52",51,0.594,0.767,2,-5.595,0,0.061,0.104,8.68e-06,0.0502,0.807,93.523,"audio_features","46PnVvF3wWiKyAfyMr1gUr","spotify:track:46PnVvF3wWiKyAfyMr1gUr","https://api.spotify.com/v1/tracks/46PnVvF3wWiKyAfyMr1gUr","https://api.spotify.com/v1/audio-analysis/46PnVvF3wWiKyAfyMr1gUr",305998,4
"53",52,0.682,0.819,7,-4.527,0,0.0327,0.186,0,0.226,0.961,100.906,"audio_features","1YWd4Zgrx3bUvgJ8MxihBV","spotify:track:1YWd4Zgrx3bUvgJ8MxihBV","https://api.spotify.com/v1/tracks/1YWd4Zgrx3bUvgJ8MxihBV","https://api.spotify.com/v1/audio-analysis/1YWd4Zgrx3bUvgJ8MxihBV",266040,4
